projectID,name,publishedTime,field,views,appreciations,comments,pic,owner,city,country
66791099,Excellent – Online builder,20180619,UI/UX,8005,535,42,https://mir-s3-cdn-cf.behance.net/projects/404/67c2d166791099.Y3JvcCw4MDgsNjMyLDAsMA.png,riotagency,Cracow,Poland
70377555,Adobe MAX 2018 identity 3 & event graphics,20181103,Graphic Design,3298,284,8,https://mir-s3-cdn-cf.behance.net/projects/404/6ed69870377555.Y3JvcCw4MDAsNjI2LDMwMSwzOQ.jpg,steveo,Oakland,United States
69010049,Branding and packaging / HÅND,20180814,Packaging,8301,870,54,https://mir-s3-cdn-cf.behance.net/projects/404/e4d7d669010049.Y3JvcCwyMDQ1LDE2MDAsMTc3LDA.jpg,studio878c,Amsterdam,Netherlands
66057793,Shanghai Dreams 上海梦想 PART II,20180801,Photography,1767,149,4,https://mir-s3-cdn-cf.behance.net/projects/404/3a0e8d66057793.Y3JvcCwxNDAzLDEwOTgsMCwxNTI.jpg,AlexisGoodwin,London,United Kingdom
73040605,Neddy's Adventures,20181127,Character Design,991,240,23,https://mir-s3-cdn-cf.behance.net/projects/404/dd599f73040605.Y3JvcCw4MDgsNjMyLDAsMA.png,kulakovskaja,Berlin,Germany
70971751,SUSTAIN ⏤ Loodious + Malavida,20181025,Art Direction,1172,150,10,https://mir-s3-cdn-cf.behance.net/projects/404/18ffd570971751.Y3JvcCwxMDg0LDg0OCwxNjYsMA.jpg,william_thibault,Montreal,Canada
63329879,Beyond the Polar Circle : road trippin' in Norway,20180317,Photography,2707,349,19,https://mir-s3-cdn-cf.behance.net/projects/404/099d6463329879.Y3JvcCwzNDI2LDI2ODEsMCw2NDI.jpg,kocyla776f,Pérenchies,France
73121997,FAÜNA,20181129,Graphic Design,1776,384,24,https://mir-s3-cdn-cf.behance.net/projects/404/cc4f3e73121997.Y3JvcCwxNTc3LDEyMzQsMTksMA.jpg,TRUFCREATIVE,Santa Monica,United States
65741907,UBER : Unlocking Cities,20180518,Art Direction,2169,247,9,https://mir-s3-cdn-cf.behance.net/projects/404/29f79c65741907.Y3JvcCw4MTAsNjM0LDAsMA.png,elenwinata,Singapore,Singapore
71755415,Super Nice Type,20181025,Art Direction,2005,406,42,https://mir-s3-cdn-cf.behance.net/projects/404/5c268c71755415.Y3JvcCw5NTgsNzUwLDEyMSww.jpg,UFHORIA,Singapore,Singapore
72884235,DUAL_Full version_2015,20181122,Animation,607,33,2,https://mir-s3-cdn-cf.behance.net/projects/404/d8968872884235.Y3JvcCw4OTQsNzAwLDUzLDA.jpg,addminimal,Sofia,Bulgaria
69337947,ART4KIDS — children`s art studio,20181017,Art Direction,4660,740,19,https://mir-s3-cdn-cf.behance.net/projects/404/bd44c569337947.Y3JvcCwxODc1LDE0NjcsMjA0NywyNzM.jpg,ikolomiiets,Kiev,Ukraine
48443813,Dew Magazine - Aaricia Varanda,20170206,Retouching,1635,231,5,https://mir-s3-cdn-cf.behance.net/projects/404/305f1a48443813.Y3JvcCwxNDAzLDEwOTgsMCw1MjY.jpg,antheaferreira,Paris,France
33823122,Delban Cream | Aghil Hosseinian,20160209,Advertising,820,104,8,https://mir-s3-cdn-cf.behance.net/projects/404/0a3bc433823122.Y3JvcCwxNzU0LDEzNzAsMCw0NzI.jpg,AghilHosseinian,Mashhad,"Iran, Islamic Republic of"
63481025,SHELA: A HAT STORY,20180402,Photography,3845,350,21,https://mir-s3-cdn-cf.behance.net/projects/404/794c5263481025.Y3JvcCwxMjAyLDk0MSwwLDU5.jpg,irungu,Nairobi,Kenya
70703289,Gamer People,20181105,Animation,3732,648,25,https://mir-s3-cdn-cf.behance.net/projects/404/31c21570703289.Y3JvcCwxMTQ1LDg5NiwzMDAsNTAy.jpg,LenisManuel,Mexico City,Mexico
72299851,21M Magazine Illustrations,20181107,Illustration,887,159,14,https://mir-s3-cdn-cf.behance.net/projects/404/dbbc0172299851.Y3JvcCw3NjksNjAxLDM2LDA.png,celsiuspictor,Madrid,Spain
71523483,Salon Architects Portfolio Book,20181018,Print Design,1546,152,10,https://mir-s3-cdn-cf.behance.net/projects/404/00098f71523483.Y3JvcCwzMDE3LDIzNjAsNDEwLDA.jpg,sabriakin,New York,United States
57418423,ZARA Woman - Shirt print,20171005,Fashion,1898,138,7,https://mir-s3-cdn-cf.behance.net/projects/404/45e1f857418423.Y3JvcCwxOTI0LDE1MDYsMCw0ODk.jpg,silviastellaosella,Milan,Italy
61337785,Ford Mustang Shelby GT350,20180126,Photography,6484,737,27,https://mir-s3-cdn-cf.behance.net/projects/404/46da8061337785.Y3JvcCwxNzI2LDEzNTEsNTYyLDA.jpg,maileaab,Bendestorf,Germany
65691449,Brickfinder,20180619,Art Direction,12865,1486,75,https://mir-s3-cdn-cf.behance.net/projects/404/aa1f7a65691449.Y3JvcCwxMjc4LDEwMDAsMCww.jpg,milkwork,Saint Petersburg,Russian Federation
69867271,FLOW // MISK ART FOUNDATION // TAPE ART & GRAFFITI,20180906,Street Art,742,59,5,https://mir-s3-cdn-cf.behance.net/projects/404/04b34469867271.Y3JvcCw4NTIsNjY3LDczLDA.jpg,TAPEOVER,Berlin,Germany
69666351,Sounds of Rainforest,20180831,Photography,856,71,3,https://mir-s3-cdn-cf.behance.net/projects/404/2dbbda69666351.Y3JvcCwxNTc1LDEyMzEsMCwzNzg.jpg,nicosocha,Bochum,Germany
73218493,K.D.F,20181201,Photography,2549,317,25,https://mir-s3-cdn-cf.behance.net/projects/404/ccc90973218493.Y3JvcCwxNDAwLDEwOTUsMCwzODQ.jpg,Osborne,Nairobi,Kenya
73112015,Furniture in process,20181129,Branding,4183,372,33,https://mir-s3-cdn-cf.behance.net/projects/404/1034e173112015.Y3JvcCwxMTkyLDkzMywwLDA.jpg,hopastudio,Warsaw,Poland
72765753,Katamaya | Sweet & Savory,20181120,Graphic Design,2098,268,15,https://mir-s3-cdn-cf.behance.net/projects/404/3c9ef972765753.Y3JvcCwxMjY1LDk5MCw2NSww.jpg,ChrisTrivizas,Athens,Greece
65718169,Illustrations VII,20180518,Illustration,4359,895,30,https://mir-s3-cdn-cf.behance.net/projects/404/cb0ca265718169.Y3JvcCw3NzYsNjA3LDE0NSww.png,Chkn,Ruda Śląska,Poland
69049381,Notes From Linn House,20180815,Art Direction,7239,628,30,https://mir-s3-cdn-cf.behance.net/projects/404/aef75e69049381.Y3JvcCwyNDc3LDE5MzcsMTQ3LDA.jpg,thetouchagency,Edinburgh,United Kingdom
56615093,AKAN: LOST WORLD,20170911,Photography,1332,169,6,https://mir-s3-cdn-cf.behance.net/projects/404/1f017756615093.Y3JvcCwxMjY1LDk5MCw2NSww.jpg,cbje_tokyo,Tokyo,Japan
72501477,Nymbl - Care Optimized,20181113,Animation,2343,396,12,https://mir-s3-cdn-cf.behance.net/projects/404/51e67772501477.Y3JvcCwxMDA3LDc4OCwzMTQsMA.jpg,seth_eckert,Lexington,United States
59694811,WINTER BLUES – Iceland,20171209,Photography,4496,614,28,https://mir-s3-cdn-cf.behance.net/projects/404/4184d859694811.Y3JvcCwxODQ1LDE0NDQsNDEsMA.jpg,northlandscapes,Hamburg,Germany
