l,a,b,p,,,,,,,
0.09,0,0,0.299,,,,,,,
0.31,-0.015748031,-0.267716535,0.029,,,,,,,
0.53,0.086614173,-0.582677165,0.008,,,,,,,
0.63,-0.42519685,0.31496063,0.001,,,,,,,
0.8,-0.440944882,0.086614173,0.001,,,,,,,
0.17,0.188976378,0.102362205,0.014,,,,,,,
0.32,0,0,0.028,,,,,,,
0.51,-0.047244094,-0.251968504,0.002,,,,,,,
0.67,-0.141732283,-0.267716535,0.006,,,,,,,
0.8,-0.448818898,0.291338583,0.001,,,,,,,
0.28,0.338582677,0.220472441,0.155,,,,,,,
0.38,0.173228346,0.070866142,0.005,,,,,,,
0.52,0,0,0.103,,,,,,,
0.68,-0.133858268,-0.047244094,0.002,,,,,,,
0.84,-0.244094488,-0.078740157,0.030,,,,,,,
0.39,0.440944882,0.102362205,0.009,,,,,,,
0.51,0.464566929,-0.464566929,0.001,,,,,,,
0.56,0.11023622,0.448818898,0.027,,,,,,,
0.71,0,0,0.005,,,,,,,
0.84,-0.228346457,0.338582677,0.005,,,,,,,
0.49,0.566929134,0.220472441,0.002,,,,,,,
0.56,0.519685039,-0.165354331,0.003,,,,,,,
0.63,0.275590551,0.511811024,0.019,,,,,,,
0.75,0.11023622,0.25984252,0.029,,,,,,,
0.9,0,0,0.216,,,,,,,
,,,,,,,,,,
