l,a,b,u
0.09,-0.448818898,-0.582677165,0
0.19,-0.448818898,-0.582677165,-1.138645272
0.29,-0.448818898,-0.582677165,-1.963820868
0.39,-0.448818898,-0.582677165,-2.295377023
0.49,-0.448818898,-0.582677165,-2.486443624
0.59,-0.448818898,-0.582677165,-2.814275299
0.69,-0.448818898,-0.582677165,-2.719345985
0.79,-0.448818898,-0.582677165,-1.660344839
0.89,-0.448818898,-0.582677165,-0.005602581
0.09,-0.448818898,-0.382677165,1.033747143
0.19,-0.448818898,-0.382677165,-0.104898129
0.29,-0.448818898,-0.382677165,-0.930073724
0.39,-0.448818898,-0.382677165,-1.261629879
0.49,-0.448818898,-0.382677165,-1.45269648
0.59,-0.448818898,-0.382677165,-1.780528155
0.69,-0.448818898,-0.382677165,-1.685598842
0.79,-0.448818898,-0.382677165,-0.626597695
0.89,-0.448818898,-0.382677165,1.028144562
0.09,-0.448818898,-0.182677165,1.307720576
0.19,-0.448818898,-0.182677165,0.169075304
0.29,-0.448818898,-0.182677165,-0.656100292
0.39,-0.448818898,-0.182677165,-0.987656447
0.49,-0.448818898,-0.182677165,-1.178723048
0.59,-0.448818898,-0.182677165,-1.506554723
0.69,-0.448818898,-0.182677165,-1.411625409
0.79,-0.448818898,-0.182677165,-0.352624263
0.89,-0.448818898,-0.182677165,1.302117995
0.09,-0.448818898,0.017322835,1.281173833
0.19,-0.448818898,0.017322835,0.142528561
0.29,-0.448818898,0.017322835,-0.682647035
0.39,-0.448818898,0.017322835,-1.01420319
0.49,-0.448818898,0.017322835,-1.205269791
0.59,-0.448818898,0.017322835,-1.533101466
0.69,-0.448818898,0.017322835,-1.438172152
0.79,-0.448818898,0.017322835,-0.379171006
0.89,-0.448818898,0.017322835,1.275571252
0.09,-0.448818898,0.217322835,1.513468835
0.19,-0.448818898,0.217322835,0.374823563
0.29,-0.448818898,0.217322835,-0.450352033
0.39,-0.448818898,0.217322835,-0.781908188
0.49,-0.448818898,0.217322835,-0.972974789
0.59,-0.448818898,0.217322835,-1.300806464
0.69,-0.448818898,0.217322835,-1.20587715
0.79,-0.448818898,0.217322835,-0.146876004
0.89,-0.448818898,0.217322835,1.507866254
0.09,-0.448818898,0.417322835,2.197940952
0.19,-0.448818898,0.417322835,1.05929568
0.29,-0.448818898,0.417322835,0.234120084
0.39,-0.448818898,0.417322835,-0.097436071
0.49,-0.448818898,0.417322835,-0.288502672
0.59,-0.448818898,0.417322835,-0.616334347
0.69,-0.448818898,0.417322835,-0.521405033
0.79,-0.448818898,0.417322835,0.537596113
0.89,-0.448818898,0.417322835,2.192338371
0.09,-0.248818898,-0.582677165,1.618736909
0.19,-0.248818898,-0.582677165,0.480091637
0.29,-0.248818898,-0.582677165,-0.345083959
0.39,-0.248818898,-0.582677165,-0.676640113
0.49,-0.248818898,-0.582677165,-0.867706715
0.59,-0.248818898,-0.582677165,-1.195538389
0.69,-0.248818898,-0.582677165,-1.100609076
0.79,-0.248818898,-0.582677165,-0.04160793
0.89,-0.248818898,-0.582677165,1.613134328
0.09,-0.248818898,-0.382677165,2.652484053
0.19,-0.248818898,-0.382677165,1.51383878
0.29,-0.248818898,-0.382677165,0.688663185
0.39,-0.248818898,-0.382677165,0.35710703
0.49,-0.248818898,-0.382677165,0.166040429
0.59,-0.248818898,-0.382677165,-0.161791246
0.69,-0.248818898,-0.382677165,-0.066861932
0.79,-0.248818898,-0.382677165,0.992139214
0.89,-0.248818898,-0.382677165,2.646881472
0.09,-0.248818898,-0.182677165,2.926457485
0.19,-0.248818898,-0.182677165,1.787812213
0.29,-0.248818898,-0.182677165,0.962636617
0.39,-0.248818898,-0.182677165,0.631080462
0.49,-0.248818898,-0.182677165,0.440013861
0.59,-0.248818898,-0.182677165,0.112182186
0.69,-0.248818898,-0.182677165,0.2071115
0.79,-0.248818898,-0.182677165,1.266112646
0.89,-0.248818898,-0.182677165,2.920854904
0.09,-0.248818898,0.017322835,2.899910743
0.19,-0.248818898,0.017322835,1.76126547
0.29,-0.248818898,0.017322835,0.936089875
0.39,-0.248818898,0.017322835,0.60453372
0.49,-0.248818898,0.017322835,0.413467119
0.59,-0.248818898,0.017322835,0.085635444
0.69,-0.248818898,0.017322835,0.180564758
0.79,-0.248818898,0.017322835,1.239565904
0.89,-0.248818898,0.017322835,2.894308161
0.09,-0.248818898,0.217322835,3.132205744
0.19,-0.248818898,0.217322835,1.993560472
0.29,-0.248818898,0.217322835,1.168384877
0.39,-0.248818898,0.217322835,0.836828722
0.49,-0.248818898,0.217322835,0.645762121
0.59,-0.248818898,0.217322835,0.317930446
0.69,-0.248818898,0.217322835,0.412859759
0.79,-0.248818898,0.217322835,1.471860906
0.89,-0.248818898,0.217322835,3.126603163
0.09,-0.248818898,0.417322835,3.816677861
0.19,-0.248818898,0.417322835,2.678032589
0.29,-0.248818898,0.417322835,1.852856993
0.39,-0.248818898,0.417322835,1.521300839
0.49,-0.248818898,0.417322835,1.330234237
0.59,-0.248818898,0.417322835,1.002402563
0.69,-0.248818898,0.417322835,1.097331876
0.79,-0.248818898,0.417322835,2.156333022
0.89,-0.248818898,0.417322835,3.81107528
0.09,-0.048818898,-0.582677165,2.871414842
0.19,-0.048818898,-0.582677165,1.73276957
0.29,-0.048818898,-0.582677165,0.907593974
0.39,-0.048818898,-0.582677165,0.57603782
0.49,-0.048818898,-0.582677165,0.384971218
0.59,-0.048818898,-0.582677165,0.057139544
0.69,-0.048818898,-0.582677165,0.152068857
0.79,-0.048818898,-0.582677165,1.211070003
0.89,-0.048818898,-0.582677165,2.865812261
0.09,-0.048818898,-0.382677165,3.905161986
0.19,-0.048818898,-0.382677165,2.766516713
0.29,-0.048818898,-0.382677165,1.941341118
0.39,-0.048818898,-0.382677165,1.609784963
0.49,-0.048818898,-0.382677165,1.418718362
0.59,-0.048818898,-0.382677165,1.090886687
0.69,-0.048818898,-0.382677165,1.185816001
0.79,-0.048818898,-0.382677165,2.244817147
0.89,-0.048818898,-0.382677165,3.899559405
0.09,-0.048818898,-0.182677165,4.179135418
0.19,-0.048818898,-0.182677165,3.040490146
0.29,-0.048818898,-0.182677165,2.21531455
0.39,-0.048818898,-0.182677165,1.883758395
0.49,-0.048818898,-0.182677165,1.692691794
0.59,-0.048818898,-0.182677165,1.364860119
0.69,-0.048818898,-0.182677165,1.459789433
0.79,-0.048818898,-0.182677165,2.518790579
0.89,-0.048818898,-0.182677165,4.173532837
0.09,-0.048818898,0.017322835,4.152588675
0.19,-0.048818898,0.017322835,3.013943403
0.29,-0.048818898,0.017322835,2.188767808
0.39,-0.048818898,0.017322835,1.857211653
0.49,-0.048818898,0.017322835,1.666145052
0.59,-0.048818898,0.017322835,1.338313377
0.69,-0.048818898,0.017322835,1.433242691
0.79,-0.048818898,0.017322835,2.492243837
0.89,-0.048818898,0.017322835,4.146986094
0.09,-0.048818898,0.217322835,4.384883677
0.19,-0.048818898,0.217322835,3.246238405
0.29,-0.048818898,0.217322835,2.421062809
0.39,-0.048818898,0.217322835,2.089506655
0.49,-0.048818898,0.217322835,1.898440053
0.59,-0.048818898,0.217322835,1.570608379
0.69,-0.048818898,0.217322835,1.665537692
0.79,-0.048818898,0.217322835,2.724538839
0.89,-0.048818898,0.217322835,4.379281096
0.09,-0.048818898,0.417322835,5.069355794
0.19,-0.048818898,0.417322835,3.930710522
0.29,-0.048818898,0.417322835,3.105534926
0.39,-0.048818898,0.417322835,2.773978772
0.49,-0.048818898,0.417322835,2.58291217
0.59,-0.048818898,0.417322835,2.255080496
0.69,-0.048818898,0.417322835,2.350009809
0.79,-0.048818898,0.417322835,3.409010955
0.89,-0.048818898,0.417322835,5.063753213
0.09,0.151181102,-0.582677165,3.186582945
0.19,0.151181102,-0.582677165,2.047937672
0.29,0.151181102,-0.582677165,1.222762077
0.39,0.151181102,-0.582677165,0.891205922
0.49,0.151181102,-0.582677165,0.700139321
0.59,0.151181102,-0.582677165,0.372307646
0.69,0.151181102,-0.582677165,0.46723696
0.79,0.151181102,-0.582677165,1.526238106
0.89,0.151181102,-0.582677165,3.180980364
0.09,0.151181102,-0.382677165,4.220330088
0.19,0.151181102,-0.382677165,3.081684816
0.29,0.151181102,-0.382677165,2.25650922
0.39,0.151181102,-0.382677165,1.924953065
0.49,0.151181102,-0.382677165,1.733886464
0.59,0.151181102,-0.382677165,1.406054789
0.69,0.151181102,-0.382677165,1.500984103
0.79,0.151181102,-0.382677165,2.559985249
0.89,0.151181102,-0.382677165,4.214727507
0.09,0.151181102,-0.182677165,4.494303521
0.19,0.151181102,-0.182677165,3.355658248
0.29,0.151181102,-0.182677165,2.530482653
0.39,0.151181102,-0.182677165,2.198926498
0.49,0.151181102,-0.182677165,2.007859897
0.59,0.151181102,-0.182677165,1.680028222
0.69,0.151181102,-0.182677165,1.774957536
0.79,0.151181102,-0.182677165,2.833958682
0.89,0.151181102,-0.182677165,4.48870094
0.09,0.151181102,0.017322835,4.467756778
0.19,0.151181102,0.017322835,3.329111506
0.29,0.151181102,0.017322835,2.50393591
0.39,0.151181102,0.017322835,2.172379755
0.49,0.151181102,0.017322835,1.981313154
0.59,0.151181102,0.017322835,1.653481479
0.69,0.151181102,0.017322835,1.748410793
0.79,0.151181102,0.017322835,2.807411939
0.89,0.151181102,0.017322835,4.462154197
0.09,0.151181102,0.217322835,4.70005178
0.19,0.151181102,0.217322835,3.561406508
0.29,0.151181102,0.217322835,2.736230912
0.39,0.151181102,0.217322835,2.404674757
0.49,0.151181102,0.217322835,2.213608156
0.59,0.151181102,0.217322835,1.885776481
0.69,0.151181102,0.217322835,1.980705795
0.79,0.151181102,0.217322835,3.039706941
0.89,0.151181102,0.217322835,4.694449199
0.09,0.151181102,0.417322835,5.384523897
0.19,0.151181102,0.417322835,4.245878624
0.29,0.151181102,0.417322835,3.420703029
0.39,0.151181102,0.417322835,3.089146874
0.49,0.151181102,0.417322835,2.898080273
0.59,0.151181102,0.417322835,2.570248598
0.69,0.151181102,0.417322835,2.665177912
0.79,0.151181102,0.417322835,3.724179058
0.89,0.151181102,0.417322835,5.378921316
0.09,0.351181102,-0.582677165,2.57810095
0.19,0.351181102,-0.582677165,1.439455678
0.29,0.351181102,-0.582677165,0.614280083
0.39,0.351181102,-0.582677165,0.282723928
0.49,0.351181102,-0.582677165,0.091657327
0.59,0.351181102,-0.582677165,-0.236174348
0.69,0.351181102,-0.582677165,-0.141245034
0.79,0.351181102,-0.582677165,0.917756112
0.89,0.351181102,-0.582677165,2.572498369
0.09,0.351181102,-0.382677165,3.611848094
0.19,0.351181102,-0.382677165,2.473202822
0.29,0.351181102,-0.382677165,1.648027226
0.39,0.351181102,-0.382677165,1.316471071
0.49,0.351181102,-0.382677165,1.12540447
0.59,0.351181102,-0.382677165,0.797572795
0.69,0.351181102,-0.382677165,0.892502109
0.79,0.351181102,-0.382677165,1.951503255
0.89,0.351181102,-0.382677165,3.606245513
0.09,0.351181102,-0.182677165,3.885821526
0.19,0.351181102,-0.182677165,2.747176254
0.29,0.351181102,-0.182677165,1.922000658
0.39,0.351181102,-0.182677165,1.590444504
0.49,0.351181102,-0.182677165,1.399377902
0.59,0.351181102,-0.182677165,1.071546228
0.69,0.351181102,-0.182677165,1.166475541
0.79,0.351181102,-0.182677165,2.225476687
0.89,0.351181102,-0.182677165,3.880218945
0.09,0.351181102,0.017322835,3.859274784
0.19,0.351181102,0.017322835,2.720629511
0.29,0.351181102,0.017322835,1.895453916
0.39,0.351181102,0.017322835,1.563897761
0.49,0.351181102,0.017322835,1.37283116
0.59,0.351181102,0.017322835,1.044999485
0.69,0.351181102,0.017322835,1.139928799
0.79,0.351181102,0.017322835,2.198929945
0.89,0.351181102,0.017322835,3.853672203
0.09,0.351181102,0.217322835,4.091569786
0.19,0.351181102,0.217322835,2.952924513
