id,p_id,p_name,p_field,publishedtime,p_views,p_appreciations,p_comments,u_id,u_name,createdtime,followers,u_views,u_appreciations
2,43394133,Optic | Augmented Reality Helmet,Industrial Design,1004,21869,2176,50,11496477,richardleyprice,1605,1285,31640,3120
3,6579685,C-Thru; Smoke Diving Helmet,Industrial Design,2364,45675,1972,69,103343,omerhaciomeroglu,3708,1524,68763,3302
5,14339697,POC Brand identity project ,Industrial Design,1970,18373,1259,28,2614803,spancioli,2254,2516,65290,4929
6,47164771,Future Football Helmet Design Case Study,Art Direction,875,11886,1224,78,2009563,danestorrusten,2372,4005,134419,10778
7,65584821,EVO - Kitesurfing helmet,Industrial Design,411,8848,1144,46,6189527,Tiefenbacher,1848,1521,40113,4179
8,50208055,SOUNDSHIELD / Helmet and Headphones Combined,Industrial Design,836,8036,1123,53,16249425,juangm,1428,2205,53924,4688
14,20105269,CAT: Hardhat,Industrial Design,1736,9894,786,33,2236111,Jazzhands,2324,851,27399,2239
15,44114935,MSC Helmet,Industrial Design,980,5898,749,24,1877643,pfrancoz,2408,3476,107052,8455
17,31291433,100% Aircraft MTB Helmet,Industrial Design,1321,5907,654,37,366103,torkehagen,3029,1962,52689,5855
18,4140647,TANDEM -,Automotive Design,2074,5817,640,30,1222421,GermainVERBRACKEL,2581,974,24823,1649
19,16280103,Ski Helmet,Drawing,1896,8110,618,3,5685973,FlorianQuertinmont,1897,946,32279,2591
20,10744663,Motocross Helmet,Engineering,2125,6666,587,18,3453939,dergoldstein,2125,1675,97787,5607
22,15751911,CARTER,Industrial Design,1917,5272,535,27,2113927,levijacobprice,2349,4109,151351,10814
26,9202533,Ski Helmet + Goggle,Industrial Design,2213,6170,452,18,1534117,hsuandi,2496,521,24786,1260
27,57315843,Brooks England Harrier Helmet,Industrial Design,634,6129,421,14,4050445,nelsonwah,2061,1223,41498,2651
31,40534949,Catlike - Cloud 352,Industrial Design,1085,1683,357,1,4639923,alonsobd,1998,579,40377,7756
34,31776589,eHat Systems,Industrial Design,1299,4775,340,3,170909,katapultdesign,3331,2073,63213,5039
