id,p_id,p_name,p_field,publishedtime,p_views,p_appreciations,p_comments,u_id,u_name,createdtime,followers,u_views,u_appreciations,R,G,B,alt,V,
756,55760317,Racing Helmet Concept,Industrial Design,685,65,3,1,60008431,tylerf,906,17,944,35,46,46,45,111,0.001323011,0.301259265
449,51584071,Vortex Kayaks - Helmet Renders,Industrial Design,806,88,8,1,72371897,DWILKNSON1a8a,808,10,379,26,37,37,33,111,0.001362391,
763,62268413,Oxelo / B-Twin / Wed'Ze Helmet (2018),Industrial Design,393,89,3,0,1664237,cyrilleancely,2462,241,10501,575,42,41,43,111,0.002897213,
493,53424757,Nitro Motorcycle Helmet,Industrial Design,756,101,7,1,13139793,JackCorrie,1533,22,1076,37,43,41,40,111,0.001779253,
426,58281573,BAO | Umpire Helmet Concept,Industrial Design,609,111,9,0,103550907,jeremiahet7efe,628,25,1369,71,33,33,33,111,0.001053229,
633,20672589,Nava 109 Titanio,Graphic Design,1714,112,4,0,8240689,fabrizioricupito,1734,23,2335,145,30,33,36,111,0.00252529,
530,28836947,HELMET 3D DESIGN,Digital Art,1411,146,6,0,1165023,gs_designs,2603,56,6876,171,26,27,29,111,0.003084023,
360,37650329,THE DEFENDER,Industrial Design,1130,159,11,0,3900687,StevePuertas,2077,100,3280,211,42,41,40,111,0.002552901,
238,76749047,R1 Cycling Helmet,Industrial Design,126,257,25,2,303812283,seokmoonwoo,144,74,2538,173,45,44,49,111,0.001164106,
290,48527613,Split,Industrial Design,873,258,17,0,17932453,TylerSerra,1380,28,631,45,33,33,34,111,0.001742193,
482,34564787,TriLo- Foldable open-face motorcycle helmet,Industrial Design,1185,272,7,0,15310275,Unnati_jain,1458,33,683,28,49,48,46,111,0.001951012,
284,66951785,Helmet intelligent industrial design,Industrial Design,377,274,18,0,18098015,Kreatif-Design,1376,10,307,19,24,25,26,111,0.001332989,
367,5930865,Bike Helmet,Industrial Design,2419,301,11,0,1178207,sidbhat,2598,27,1243,55,38,45,47,111,0.003559104,
277,24252407,Oldschool Helmet,Automotive Design,1578,548,18,0,9135977,dorukerdem,1714,1358,92430,3327,20,19,19,111,0.010812244,
166,27107117,TERRAFLEX: Adaptable Helmet System,Industrial Design,1477,578,45,2,2971161,TrevorJMast,2196,57,4580,150,39,41,39,111,0.003635639,
198,23427439,Lockmet,Industrial Design,1606,625,33,0,10881819,saumyaarora,1630,52,2905,143,35,45,45,111,0.002911988,
405,11699309,Photoshop sketch - Fox Helmet concept,Illustration,2073,654,9,0,3881827,marcoboccellato,2079,41,3823,77,45,42,38,111,0.00333483,
95,58734545,Rossignol helmet,Industrial Design,596,754,108,2,2168425,genez,2338,619,17198,1201,36,36,36,111,0.005644668,
154,62822419,Closca. Logo design,Graphic Design,483,1000,52,1,133626893,democracia,504,2783,140721,12021,34,37,31,111,0.019684361,
129,52271325,Gridiron Labs 2030 NFL Helmet,Industrial Design,788,1027,72,5,2858121,christopherarmstrong,2212,313,13296,877,20,19,35,111,0.00531372,
333,14105535,Architect's Helmet,Architecture,1979,1032,12,3,4551013,boazdekel,2008,165,14121,480,39,39,39,111,0.004880604,
117,13202329,Kortex Helmet,Fashion Styling,2021,1170,80,2,2803677,Zachary_Massos,2222,187,5363,338,35,37,43,111,0.004928547,
142,16540221,Motorcycle Helmet for Deus Ex Machina ,Automotive Design,1887,1824,63,4,3983947,davehansung,2068,76,2898,110,24,23,24,111,0.004894189,
92,46636843,racing helmet,Industrial Design,920,1988,114,3,13433345,masamaro,1521,1240,32192,2429,43,43,43,111,0.00862827,
40,67140187,Helemetric - parametric helmet,Industrial Design,370,2087,298,11,47944297,iamhr8011,1006,192,4041,441,36,37,37,111,0.006641504,
74,10538723,Shred Ready,Industrial Design,2137,2109,139,11,1781983,cgrill,2432,739,15042,1327,20,18,18,111,0.009485631,
52,57273905,Brooks England Island Helmet,Industrial Design,639,2573,236,5,4050445,nelsonwah,2061,1223,41498,2651,44,46,47,111,0.010756561,
149,3388371,Buhel D01 - Boneconductive Headphone For Helmets,Automotive Design,2663,2974,54,3,362447,givingshape,3031,671,73420,2603,44,45,35,111,0.011994745,
27,57315843,Brooks England Harrier Helmet,Industrial Design,634,6129,421,14,4050445,nelsonwah,2061,1223,41498,2651,36,39,40,111,0.015416678,
20,10744663,Motocross Helmet,Engineering,2125,6666,587,18,3453939,dergoldstein,2125,1675,97787,5607,42,44,44,111,0.023777808,
8,50208055,SOUNDSHIELD / Helmet and Headphones Combined,Industrial Design,836,8036,1123,53,16249425,juangm,1428,2205,53924,4688,30,33,40,111,0.031305471,
6,47164771,Future Football Helmet Design Case Study,Art Direction,875,11886,1224,78,2009563,danestorrusten,2372,4005,134419,10778,22,24,22,111,0.049073394,
2,43394133,Optic | Augmented Reality Helmet,Industrial Design,1004,21869,2176,50,11496477,richardleyprice,1605,1285,31640,3120,41,41,41,111,0.041811698,
412,22132853,helmets-titan design studio/fastrack,Graphic Design,1657,148,9,1,3687299,shubhankitraina,2096,20,1053,102,28,65,113,123,0.002823701,0.029011983
515,20293059,Red Bull Helmet,Animation,1729,160,6,1,634090,DrPhilHodgkins,2849,14,2304,66,46,61,113,123,0.003301441,
374,13135113,Mountain Bike - Full Helmet,Drawing,2023,216,10,0,4448975,gcasagrande,2023,107,4439,273,49,60,115,123,0.003303193,
352,18304699,MV Agusta / Savoy - Jet Helmet,Automotive Design,1815,232,11,0,1788481,cactushug,2430,156,11057,522,29,73,118,123,0.003920157,
211,23524299,Bike Helmet,Industrial Design,1602,449,30,2,11527079,LucasCorrea93,1603,100,13544,1020,50,81,101,123,0.004250819,
