ID,projectID,projectName,duration,field,views,appreciations,comments,pic,color,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
0,21573095,HOYO drill,1781,Industrial Design,40490,4077,190,https://mir-s3-cdn-cf.behance.net/projects/404/193fc221573095.Y3JvcCw2NTQsNTEyLDM1NCwx.png,"[{'r': 193, 'g': 196, 'b': 200}]",1496761,pascalruelle,2617,238,9257,440766,26001,68
1,1176939,I.D. SKETCHING & MARKER RENDERING,3128,Drawing,15341,1081,33,https://mir-s3-cdn-cf.behance.net/projects/404/7c38621176939.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 253, 'g': 253, 'b': 254}]",382147,begumtomruk,3128,1081,1875,57644,2998,46
2,64672321,Nautilus,504,Industrial Design,7450,1011,40,https://mir-s3-cdn-cf.behance.net/projects/404/f821ca64672321.Y3JvcCw4NzgsNjg3LDIyNSwzMA.jpg,"[{'r': 20, 'g': 41, 'b': 46}]",304397,alexanderkaula,3187,270,707,16900,1641,26
3,53335009,Design sketches Summer 2017,870,Industrial Design,9370,886,16,https://mir-s3-cdn-cf.behance.net/projects/404/76897e53335009.Y3JvcCwxMTM2LDg4OSwyMzUsMTAz.jpg,"[{'r': 218, 'g': 218, 'b': 218}]",4325761,filipchaeder,2147,5,4393,70798,6042,2
4,4874959,PANASONIC - Elisa,2617,Industrial Design,11955,776,23,https://mir-s3-cdn-cf.behance.net/projects/404/4874959.546461d82b28d.jpg,"[{'r': 14, 'g': 14, 'b': 14}]",1496761,pascalruelle,2617,238,9257,440766,26001,68
5,37775665,DESIGN SKETCHBOOK 2016,1238,Industrial Design,17344,766,14,https://mir-s3-cdn-cf.behance.net/projects/404/54895137775665.Y3JvcCw0ODMsMzc4LDEwNiw0NTk.jpg,"[{'r': 248, 'g': 248, 'b': 248}]",386257,msaninm,3126,481,2997,118591,8883,46
6,34983993,Skil Power Drill,761,Industrial Design,2722,400,21,https://mir-s3-cdn-cf.behance.net/projects/404/6a017f34983993.Y3JvcCwxMTYwLDkwOCwwLDA.jpg,"[{'r': 41, 'g': 41, 'b': 41}]",2591371,jacobstanton,2370,275,548,12653,1428,32
7,24969837,POC Screw Driver,1663,Branding,3710,374,10,https://mir-s3-cdn-cf.behance.net/projects/404/8087c124969837.Y3JvcCwyODQ3LDIyMjgsMCww.jpg,"[{'r': 209, 'g': 209, 'b': 209}]",12154301,daureb01dfd9,1686,86,764,22850,1446,4
8,264796,DCI Digitrack F2 Drill-Head Locator,3749,Industrial Design,8660,366,8,https://mir-s3-cdn-cf.behance.net/projects/404/24d2a7264796.Y3JvcCw1NjcsNDQ0LDIyMywzOQ.jpg,"[{'r': 98, 'g': 111, 'b': 134}]",76255,Timothy,4127,57,4051,135203,8297,16
9,14229349,Porter Cable Power Tools,2033,Branding,6115,353,26,https://mir-s3-cdn-cf.behance.net/projects/404/14229349.548536c39b751.jpg,"[{'r': 36, 'g': 36, 'b': 35}]",160508,jimtirone,3492,90,1675,95190,4588,50
10,25806123,Resqtec S1,1634,Branding,5556,349,11,https://mir-s3-cdn-cf.behance.net/projects/404/fe44b425806123.5541fae0f2d7a.png,"[{'r': 49, 'g': 45, 'b': 38}]",12947431,enginguzel,1652,37,237,7947,447,2
11,9847833,Auto revolver drill,2287,Industrial Design,4970,344,13,https://mir-s3-cdn-cf.behance.net/projects/404/9847833.547ece93f0c4a.jpg,"[{'r': 250, 'g': 250, 'b': 250}]",3074269,junhoyoon,2292,55,280,12007,627,0
12,66490385,NEW DRILL DESIGN,501,Industrial Design,2224,271,8,https://mir-s3-cdn-cf.behance.net/projects/404/646f4f66490385.Y3JvcCwxOTYxLDE1MzQsMTAwOSwzMzA.jpg,"[{'r': 43, 'g': 43, 'b': 43}]",74222937,yhsdesign,904,286,152,4350,490,19
13,25357767,FREE 3D model cordless drill,1649,Graphic Design,5086,250,6,https://mir-s3-cdn-cf.behance.net/projects/404/110aef25357767.Y3JvcCw5OTksNzgyLDAsMjM4OA.jpg,"[{'r': 24, 'g': 24, 'b': 24}]",2236501,scropin,2435,216,2247,62822,5348,106
