ID,projectID,projectName,duration,field,views,appreciations,comments,foucs,pic,colors,ownerID,ownerName,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
0,716663,Write a Bike,3142,Typography,348052,24526,532,6724,https://mir-s3-cdn-cf.behance.net/projects/404/50215a716663.Y3JvcCwxNDY1LDExNDYsMzE1Miw4Nzc.jpg,"[{'r': 248, 'g': 248, 'b': 237}]",234699,juri,22437,1123601,81839,81
1,14929833,Smartwatch Concept,1888,Industrial Design,273791,21495,598,4300,https://mir-s3-cdn-cf.behance.net/projects/404/14929833.5488d79c622f0.jpg,"[{'r': 87, 'g': 79, 'b': 78}]",5060605,baloghgabor,4380,281820,21890,8
2,16011385,iPad Pro Design Concept,1846,Industrial Design,224368,16230,539,3430,https://mir-s3-cdn-cf.behance.net/projects/404/16011385.548a61958815e.png,"[{'r': 4, 'g': 5, 'b': 7}]",172489,Ramotion,151511,5614847,716881,37
3,10913299,Hræsvelgr,2054,Industrial Design,83154,16113,222,1797,https://mir-s3-cdn-cf.behance.net/projects/404/10913299.5480a6ece9227.jpg,"[{'r': 39, 'g': 24, 'b': 14}]",261891,melkhiah,36809,1523402,329958,27
4,6488625,NPTV  visual identity,2050,Advertising,75418,15441,181,1722,https://mir-s3-cdn-cf.behance.net/projects/404/7fa7c86488625.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 69, 'g': 71, 'b': 75}]",261891,melkhiah,36809,1523402,329958,27
5,29936499,Rhei - The Liquid Clock,1309,Engineering,102570,11620,634,7039,https://mir-s3-cdn-cf.behance.net/projects/404/d365b129936499.56151cfe4c382.jpg,"[{'r': 241, 'g': 241, 'b': 241}]",56129,stankovicdamjan,18653,437071,30791,83
6,3434853,Headache,2597,Industrial Design,51400,11461,146,1278,https://mir-s3-cdn-cf.behance.net/projects/404/3434853.545cfffb1d870.jpg,"[{'r': 48, 'g': 16, 'b': 22}]",261891,melkhiah,36809,1523402,329958,27
7,7297839,BEEloved honey,2248,Branding,168432,10495,578,3287,https://mir-s3-cdn-cf.behance.net/projects/404/7297839.54712ad814b51.jpg,"[{'r': 253, 'g': 252, 'b': 215}]",107951,TashMihajlovic,4159,220029,13276,166
8,21357109,Armstrong - light trap ,1605,Branding,99272,10339,410,2211,https://mir-s3-cdn-cf.behance.net/projects/404/21357109.5484cb4065a83.jpg,"[{'r': 9, 'g': 11, 'b': 10}]",1023937,bolimond,20059,988627,93783,1699
9,57915943,Slade WebSite Template Vol.1,559,Web Design,67498,9733,165,537,https://mir-s3-cdn-cf.behance.net/projects/404/8d826a57915943.Y3JvcCw4MTAsNjM0LDAsMA.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",6788135,Graphichex,5681,533062,102907,8
