ID,projectID,projectName,field,duration,views,appreciations,comments,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments,pic,color,,
0,716663,Write a Bike,Typography,3203,348537,24566,533,234699,juri,3203,183,22905,1146677,83488,89,https://mir-s3-cdn-cf.behance.net/projects/404/50215a716663.Y3JvcCwxNDY1LDExNDYsMzE1Miw4Nzc.jpg,"[{'r': 248, 'g': 248, 'b': 237}]",,
1,14929833,Smartwatch Concept,Industrial Design,1949,274100,21501,598,5060605,baloghgabor,1964,44,4387,282201,21896,8,https://mir-s3-cdn-cf.behance.net/projects/404/14929833.5488d79c622f0.jpg,"[{'r': 87, 'g': 79, 'b': 78}]",,
2,10913299,Hræsvelgr,Industrial Design,2115,83609,16355,222,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/10913299.5480a6ece9227.jpg,"[{'r': 39, 'g': 24, 'b': 14}]",,
3,16011385,iPad Pro Design Concept,Industrial Design,1907,224750,16239,536,172489,Ramotion,3328,6,153240,5742021,730991,37,https://mir-s3-cdn-cf.behance.net/projects/404/16011385.548a61958815e.png,"[{'r': 4, 'g': 5, 'b': 7}]",,
4,6488625,NPTV  visual identity,Advertising,2111,76160,15688,182,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/7fa7c86488625.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 69, 'g': 71, 'b': 75}]",,
5,3434853,Headache,Industrial Design,2658,51788,11697,146,261891,melkhiah,3149,322,37329,1560713,344961,28,https://mir-s3-cdn-cf.behance.net/projects/404/3434853.545cfffb1d870.jpg,"[{'r': 48, 'g': 16, 'b': 22}]",,
6,29936499,Rhei - The Liquid Clock,Engineering,1370,103252,11674,635,56129,stankovicdamjan,4219,421,18670,438574,30882,83,https://mir-s3-cdn-cf.behance.net/projects/404/d365b129936499.56151cfe4c382.jpg,"[{'r': 241, 'g': 241, 'b': 241}]",,
7,7297839,BEEloved honey,Branding,2309,169148,10519,581,107951,TashMihajlovic,3676,345,4157,220842,13301,166,https://mir-s3-cdn-cf.behance.net/projects/404/7297839.54712ad814b51.jpg,"[{'r': 253, 'g': 252, 'b': 215}]",,
8,21357109,Armstrong - light trap ,Branding,1666,99828,10376,409,1023937,bolimond,2656,499,20127,996149,94455,1704,https://mir-s3-cdn-cf.behance.net/projects/404/21357109.5484cb4065a83.jpg,"[{'r': 9, 'g': 11, 'b': 10}]",,
9,57915943,Slade WebSite Template Vol.1,Web Design,620,68031,9741,165,6788135,Graphichex,1822,43,5739,542559,104529,8,https://mir-s3-cdn-cf.behance.net/projects/404/8d826a57915943.Y3JvcCw4MTAsNjM0LDAsMA.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",,
