ID,projectID,projectName,publishedTime,field,views,appreciations,comments,pic,colors,ownerID,ownerName,followers
0,65584821,EVO - Kitesurfing helmet,20180516,Industrial Design,8610,1135,46,https://mir-s3-cdn-cf.behance.net/projects/404/01249d65584821.Y3JvcCwxNjAzLDEyNTQsNjQxLDIxNw.jpg,"[{'r': 243, 'g': 244, 'b': 244}]",6189527,Tiefenbacher,1484
1,57315843,Brooks England Harrier Helmet,20171005,Industrial Design,6014,421,14,https://mir-s3-cdn-cf.behance.net/projects/404/7baff357315843.Y3JvcCw5MzgsNzM0LDE3MywxNg.jpeg,"[{'r': 19, 'g': 25, 'b': 26}]",4050445,nelsonwah,1218
2,54702431,Team GB Olympic Cycling Helmet - Rio 2016,20170712,Industrial Design,2858,249,5,https://mir-s3-cdn-cf.behance.net/projects/404/c18a5754702431.Y3JvcCw5OTYsNzc5LDAsMjc.jpg,"[{'r': 236, 'g': 238, 'b': 242}]",203977,cruxproductdesign,914
3,31776589,eHat Systems,20151210,Industrial Design,4711,338,3,https://mir-s3-cdn-cf.behance.net/projects/404/dd554631776589.Y3JvcCw2NjgsNTIyLDAsMA.png,"[{'r': 244, 'g': 244, 'b': 244}]",170909,katapultdesign,2042
4,23970625,Free Standing Bike Shelf,20150225,Furniture Design,6599,557,20,https://mir-s3-cdn-cf.behance.net/projects/404/ba41df23970625.Y3JvcCw0ODUsMzc5LDUyLDA.png,"[{'r': 252, 'g': 250, 'b': 250}]",7293871,Marc_brosseau,1453
5,47164771,Future Football Helmet Design Case Study,20170206,Art Direction,11795,1224,77,https://mir-s3-cdn-cf.behance.net/projects/404/16a14e47164771.Y3JvcCwxMTU3LDkwNiwxMTQsMTE0.jpg,"[{'r': 3, 'g': 3, 'b': 3}]",2009563,danestorrusten,4001
6,44114935,MSC Helmet,20161024,Industrial Design,5798,741,25,https://mir-s3-cdn-cf.behance.net/projects/404/f5078144114935.Y3JvcCwxODkwLDE0NzksMzg3LDI3MA.png,"[{'r': 100, 'g': 255, 'b': 243}]",1877643,pfrancoz,3454
7,43394133,Optic | Augmented Reality Helmet,20160930,Industrial Design,21428,2141,50,https://mir-s3-cdn-cf.behance.net/projects/404/9b7f5743394133.Y3JvcCwzNjMzLDI4NDMsMCww.jpeg,"[{'r': 87, 'g': 87, 'b': 87}]",11496477,richardleyprice,1276
8,42762587,#HELMETCHALLENGE,20160913,Industrial Design,12462,1073,29,https://mir-s3-cdn-cf.behance.net/projects/404/8d6cc342762587.Y3JvcCwxMDcxLDgzOCwxNjYsNTA.jpeg,"[{'r': 254, 'g': 254, 'b': 255}]",4302823,smartyom,10827
9,41455719,100% Backpacks and Helmet Case,20160813,Fashion,3583,307,15,https://mir-s3-cdn-cf.behance.net/projects/404/8f83f141455719.Y3JvcCw5MDIsNzA2LDAsODA.jpg,"[{'r': 244, 'g': 244, 'b': 244}]",366103,torkehagen,1961
