ID,projectID,projectName,publishedTime,field,views,appreciations,comments,pic,colors,ownerID,ownerName,followers
0,10913299,Hræsvelgr,20130915,Industrial Design,83150,16111,222,https://mir-s3-cdn-cf.behance.net/projects/404/10913299.5480a6ece9227.jpg,"[{'r': 39, 'g': 24, 'b': 14}]",261891,melkhiah,36804
1,25626741,Hell Metz,20150424,Automotive Design,18677,3006,136,https://mir-s3-cdn-cf.behance.net/projects/404/2f862525626741.553a105e9e8f3.jpg,"[{'r': 18, 'g': 15, 'b': 12}]",3177801,Pedrozzy,4826
2,43394133,Optic | Augmented Reality Helmet,20160930,Industrial Design,21428,2141,50,https://mir-s3-cdn-cf.behance.net/projects/404/9b7f5743394133.Y3JvcCwzNjMzLDI4NDMsMCww.jpeg,"[{'r': 87, 'g': 87, 'b': 87}]",11496477,richardleyprice,1276
3,6579685,C-Thru; Smoke Diving Helmet,20130109,Industrial Design,45211,1969,69,https://mir-s3-cdn-cf.behance.net/projects/404/6579685.546d506695259.jpg,"[{'r': 21, 'g': 19, 'b': 19}]",103343,omerhaciomeroglu,1518
4,10074943,Scott Aeromax / Conceptualization,20130729,Industrial Design,20780,1682,42,https://mir-s3-cdn-cf.behance.net/projects/404/10074943.547f7de5cc312.png,"[{'r': 18, 'g': 10, 'b': 32}]",1877643,pfrancoz,3454
5,14339697,POC Brand identity project ,20140207,Industrial Design,18180,1253,29,https://mir-s3-cdn-cf.behance.net/projects/404/14339697.54855ea551221.jpg,"[{'r': 252, 'g': 252, 'b': 253}]",2614803,spancioli,2500
6,47164771,Future Football Helmet Design Case Study,20170206,Art Direction,11795,1224,77,https://mir-s3-cdn-cf.behance.net/projects/404/16a14e47164771.Y3JvcCwxMTU3LDkwNiwxMTQsMTE0.jpg,"[{'r': 3, 'g': 3, 'b': 3}]",2009563,danestorrusten,4001
7,65584821,EVO - Kitesurfing helmet,20180516,Industrial Design,8611,1135,46,https://mir-s3-cdn-cf.behance.net/projects/404/01249d65584821.Y3JvcCwxNjAzLDEyNTQsNjQxLDIxNw.jpg,"[{'r': 243, 'g': 244, 'b': 244}]",6189527,Tiefenbacher,1484
8,42762587,#HELMETCHALLENGE,20160913,Industrial Design,12464,1073,29,https://mir-s3-cdn-cf.behance.net/projects/404/8d6cc342762587.Y3JvcCwxMDcxLDgzOCwxNjYsNTA.jpeg,"[{'r': 254, 'g': 254, 'b': 255}]",4302823,smartyom,10828
9,50208055,SOUNDSHIELD / Helmet and Headphones Combined,20170317,Industrial Design,7539,1050,49,https://mir-s3-cdn-cf.behance.net/projects/404/c7665c50208055.Y3JvcCwxOTk2LDE1NjIsMTY3LDA.jpg,"[{'r': 30, 'g': 33, 'b': 42}]",16249425,juangm,2120
10,25944025,Unique stormtrooper StarWars helmet!,20150505,Art Direction,8163,996,32,https://mir-s3-cdn-cf.behance.net/projects/404/afa12b25944025.5548d1d720fd1.jpg,"[{'r': 252, 'g': 0, 'b': 0}]",2697013,muraviov,349
11,36550437,Oculus Bridge VR,20160427,Industrial Design,14275,865,22,https://mir-s3-cdn-cf.behance.net/projects/404/a6809a36550437.Y3JvcCwyNTgzLDIwMTgsMjI4LDE5OA.jpg,"[{'r': 17, 'g': 17, 'b': 17}]",2249665,andyuhm,942
12,44248109,Vicis zero1,20161024,Industrial Design,6873,800,28,https://mir-s3-cdn-cf.behance.net/projects/404/3ef33144248109.Y3JvcCwxMjYyLDk4Nyw2NTcsNDM.jpg,"[{'r': 200, 'g': 218, 'b': 230}]",58003,bencollette,16285
13,59305049,ReGenesis,20171128,Art Direction,5661,794,17,https://mir-s3-cdn-cf.behance.net/projects/404/c1eaaa59305049.Y3JvcCw5NzMsNzYxLDU0OCww.png,"[{'r': 26, 'g': 22, 'b': 25}]",106555213,amin-cgart,1352
14,20105269,CAT: Hardhat,20140929,Industrial Design,9719,781,33,https://mir-s3-cdn-cf.behance.net/projects/404/15925620105269.5553df16c9d4a.jpg,"[{'r': 213, 'g': 216, 'b': 215}]",2236111,Jazzhands,847
15,44114935,MSC Helmet,20161024,Industrial Design,5799,741,25,https://mir-s3-cdn-cf.behance.net/projects/404/f5078144114935.Y3JvcCwxODkwLDE0NzksMzg3LDI3MA.png,"[{'r': 100, 'g': 255, 'b': 243}]",1877643,pfrancoz,3454
16,357396,Helmet-B Bicycle Helmet for La MAÏF Design Competition,20100112,Industrial Design,12544,732,67,https://mir-s3-cdn-cf.behance.net/projects/404/cccd14357396.Y3JvcCw0MDUwMCwzMTcwMCwwLDA.jpg,"[{'r': 176, 'g': 178, 'b': 173}]",89179,julienbergignat,13670
17,31291433,100% Aircraft MTB Helmet,20151118,Industrial Design,5888,654,37,https://mir-s3-cdn-cf.behance.net/projects/404/b58d8b31291433.Y3JvcCw5MDIsNzA2LDAsOTg.jpg,"[{'r': 244, 'g': 244, 'b': 244}]",366103,torkehagen,1961
18,4140647,TANDEM -,20131026,Automotive Design,5791,638,30,https://mir-s3-cdn-cf.behance.net/projects/404/4140647.54609be871d4f.jpg,"[{'r': 252, 'g': 252, 'b': 252}]",1222421,GermainVERBRACKEL,974
19,16280103,Ski Helmet,20140422,Drawing,8040,615,3,https://mir-s3-cdn-cf.behance.net/projects/404/16280103.548ac4a46b5ca.jpg,"[{'r': 241, 'g': 240, 'b': 241}]",5685973,FlorianQuertinmont,945
20,10744663,Motocross Helmet,20130905,Engineering,6605,586,18,https://mir-s3-cdn-cf.behance.net/projects/404/10744663.54806bb093139.png,"[{'r': 53, 'g': 53, 'b': 53}]",3453939,dergoldstein,1672
21,23970625,Free Standing Bike Shelf,20150225,Furniture Design,6599,557,20,https://mir-s3-cdn-cf.behance.net/projects/404/ba41df23970625.Y3JvcCw0ODUsMzc5LDUyLDA.png,"[{'r': 252, 'g': 250, 'b': 250}]",7293871,Marc_brosseau,1453
22,15751911,CARTER,20140401,Industrial Design,5192,531,27,https://mir-s3-cdn-cf.behance.net/projects/404/15751911.548a0400c2643.jpg,"[{'r': 47, 'g': 46, 'b': 53}]",2113927,levijacobprice,4075
23,43066227,:: Telepathic AI ::,20160921,Architecture,5122,480,14,https://mir-s3-cdn-cf.behance.net/projects/404/647c5243066227.Y3JvcCwxMjAyLDk0MSwwLDIwNA.jpg,"[{'r': 5, 'g': 5, 'b': 5}]",4310723,lsouder,3061
24,41227701,Le Mans Alpine A-2030,20160731,Industrial Design,5219,470,8,https://mir-s3-cdn-cf.behance.net/projects/404/5d591741227701.Y3JvcCw5MTYsNzE3LDQ4NCww.jpg,"[{'r': 20, 'g': 21, 'b': 26}]",16969585,rdcompaafc,2340
25,44527941,Random Sketches/Renders #3,20161103,Illustration,5596,468,9,https://mir-s3-cdn-cf.behance.net/projects/404/ac8f3f44527941.Y3JvcCwxNDAzLDEwOTgsMCwzNTA.jpg,"[{'r': 5, 'g': 4, 'b': 9}]",5942343,RaleighHaire,3045
26,9202533,Ski Helmet + Goggle,20130609,Industrial Design,6083,448,18,https://mir-s3-cdn-cf.behance.net/projects/404/4948579202533.Y3JvcCwxNTA5LDExODEsMzcsMA.jpg,"[{'r': 235, 'g': 232, 'b': 247}]",1534117,hsuandi,502
27,57315843,Brooks England Harrier Helmet,20171005,Industrial Design,6014,421,14,https://mir-s3-cdn-cf.behance.net/projects/404/7baff357315843.Y3JvcCw5MzgsNzM0LDE3MywxNg.jpeg,"[{'r': 19, 'g': 25, 'b': 26}]",4050445,nelsonwah,1218
28,28553103,sku77 :: helmet,20150808,Character Design,3692,388,12,https://mir-s3-cdn-cf.behance.net/projects/404/287a1228553103.55c5d3afab680.jpg,"[{'r': 23, 'g': 23, 'b': 22}]",4310723,lsouder,3061
29,69678083,CEBE Rockgarden 2019,20180903,Industrial Design,2648,364,8,https://mir-s3-cdn-cf.behance.net/projects/404/338c1669678083.Y3JvcCwxMzUwLDEwNTUsMCwxMw.jpg,"[{'r': 54, 'g': 43, 'b': 41}]",171072323,pierrefrandd47,318
30,32413243,Portfolio 2015 Industrial Design,20151229,Illustration,5756,355,5,https://mir-s3-cdn-cf.behance.net/projects/404/02fc6632413243.Y3JvcCwxNDEwLDExMDEsMCw0ODU.jpg,"[{'r': 255, 'g': 255, 'b': 255}]",6189527,Tiefenbacher,1484
31,40534949,Catlike - Cloud 352,20160711,Industrial Design,1657,355,1,https://mir-s3-cdn-cf.behance.net/projects/404/949b7840534949.Y3JvcCwyNDk1LDE5NTIsNDU1LDEy.jpg,"[{'r': 239, 'g': 238, 'b': 241}]",4639923,alonsobd,577
32,31776589,eHat Systems,20151210,Industrial Design,4711,338,3,https://mir-s3-cdn-cf.behance.net/projects/404/dd554631776589.Y3JvcCw2NjgsNTIyLDAsMA.png,"[{'r': 244, 'g': 244, 'b': 244}]",170909,katapultdesign,2042
33,43201365,OCP Helmet #helmetchallenge,20160925,Illustration,2425,337,7,https://mir-s3-cdn-cf.behance.net/projects/404/7ed1e743201365.Y3JvcCwzMDQ4LDIzODUsMjMzLDEyOTQ.jpg,"[{'r': 29, 'g': 21, 'b': 21}]",3177801,Pedrozzy,4826
34,71223099,Sharkdog Unit,20181010,Illustration,1962,334,9,https://mir-s3-cdn-cf.behance.net/projects/404/5ed46271223099.Y3JvcCw5NjAsNzUwLDAsNDU.jpg,"[{'r': 102, 'g': 120, 'b': 144}]",5829191,christophelargillier,1203
35,15888119,Portfolio 2014,20140406,Industrial Design,6177,330,11,https://mir-s3-cdn-cf.behance.net/projects/404/15888119.548a34809af33.jpg,"[{'r': 249, 'g': 249, 'b': 249}]",4321747,QuentinLeroy,243
36,66006473,Design sketches Spring 2018,20180525,Illustration,2954,328,8,https://mir-s3-cdn-cf.behance.net/projects/404/c69d0766006473.5b082b02e61a5.png,"[{'r': 221, 'g': 222, 'b': 221}]",4325761,filipchaeder,4148
37,25645219,Venus De Milo in space.,20150425,Digital Art,4405,322,13,https://mir-s3-cdn-cf.behance.net/projects/404/783da825645219.Y3JvcCwxNDIzLDExMTIsMjc2LDc3.jpg,"[{'r': 239, 'g': 239, 'b': 239}]",2473669,anmeko,4094
38,41455719,100% Backpacks and Helmet Case,20160813,Fashion,3584,307,15,https://mir-s3-cdn-cf.behance.net/projects/404/8f83f141455719.Y3JvcCw5MDIsNzA2LDAsODA.jpg,"[{'r': 244, 'g': 244, 'b': 244}]",366103,torkehagen,1961
39,76041537,Ventoux Hybrid Helmet,20190212,Industrial Design,1869,301,12,https://mir-s3-cdn-cf.behance.net/projects/404/217aa076041537.Y3JvcCwxNDAwLDEwOTUsMCwzMjk.jpg,"[{'r': 234, 'g': 232, 'b': 237}]",2524423,JBPetricoul,963
40,42660223,Helmet Concept #helmetchallenge,20160909,Industrial Design,2783,292,8,https://mir-s3-cdn-cf.behance.net/projects/404/96f30f42660223.Y3JvcCw0NDg3LDM1MTIsNTk4LDMyMQ.png,"[{'r': 20, 'g': 20, 'b': 20}]",2642945,renan_oliveira,527
41,67140187,Helemetric - parametric helmet,20180626,Industrial Design,1942,284,11,https://mir-s3-cdn-cf.behance.net/projects/404/456c3467140187.Y3JvcCwyOTg1LDIzMzUsNDEzLDA.png,"[{'r': 27, 'g': 26, 'b': 26}]",47944297,iamhr8011,183
42,23399279,DIATHOM HELMET,20150205,Fashion,2997,282,8,https://mir-s3-cdn-cf.behance.net/projects/404/b66a6b23399279.54d344b6cf8d9.jpg,"[{'r': 245, 'g': 240, 'b': 221}]",11427907,infoc326,159
43,53229919,Triumph helmet,20170625,Industrial Design,940,280,1,https://mir-s3-cdn-cf.behance.net/projects/404/afa39853229919.Y3JvcCw4NzgsNjg3LDI4MCwyMzc.jpg,"[{'r': 91, 'g': 91, 'b': 91}]",4338287,ARAKS,103
44,58588859,S.O.Aviation Unit,20171108,Art Direction,1839,264,13,https://mir-s3-cdn-cf.behance.net/projects/404/52f98858588859.Y3JvcCwxMzIwLDEwMzMsNTUsNDI.png,"[{'r': 7, 'g': 7, 'b': 7}]",106555213,amin-cgart,1352
45,16902749,EXO Concussion Prevention System,20140516,Industrial Design,3017,261,12,https://mir-s3-cdn-cf.behance.net/projects/404/16902749.548babb770fd7.jpg,"[{'r': 17, 'g': 13, 'b': 13}]",4696339,denlincw,137
46,47214227,STL Racing Helmet,20170110,Industrial Design,2577,261,4,https://mir-s3-cdn-cf.behance.net/projects/404/f8b9ec47214227.Y3JvcCw5NjQsNzU0LDY4MywxNzM.jpg,"[{'r': 239, 'g': 239, 'b': 241}]",40709429,petef23f,1095
47,26835799,ORB (oxygen rebreather) Scuba Diving Helmet Concept,20150604,Branding,15051,252,9,https://mir-s3-cdn-cf.behance.net/projects/404/9a459f26835799.557050f71d2a9.jpg,"[{'r': 2, 'g': 164, 'b': 213}]",12832209,thomaswinship94,41
48,54702431,Team GB Olympic Cycling Helmet - Rio 2016,20170712,Industrial Design,2858,249,5,https://mir-s3-cdn-cf.behance.net/projects/404/c18a5754702431.Y3JvcCw5OTYsNzc5LDAsMjc.jpg,"[{'r': 236, 'g': 238, 'b': 242}]",203977,cruxproductdesign,914
49,22284309, HELMET OF WARFARE,20141225,Art Direction,2989,244,18,https://mir-s3-cdn-cf.behance.net/projects/404/22284309.549aed4f801b8.jpg,"[{'r': 94, 'g': 89, 'b': 85}]",1062635,otavioliborio,525
50,42676847,Helmet challenge,20160910,Industrial Design,3992,244,2,https://mir-s3-cdn-cf.behance.net/projects/404/ab26cb42676847.Y3JvcCwxOTc3LDE1NDgsMzc2LDY1OQ.jpg,"[{'r': 95, 'g': 98, 'b': 101}]",39263231,Fcouto,860
51,48874751,Catlike Yelmo,20170216,Industrial Design,977,236,1,https://mir-s3-cdn-cf.behance.net/projects/404/79035f48874751.Y3JvcCwxODEyLDE0MTgsNjQwLDI2NA.jpg,"[{'r': 47, 'g': 47, 'b': 47}]",4639923,alonsobd,577
52,57273905,Brooks England Island Helmet,20170930,Industrial Design,2523,234,5,https://mir-s3-cdn-cf.behance.net/projects/404/098fb157273905.Y3JvcCwxMDA4LDc4OSwzNDEsMA.jpeg,"[{'r': 44, 'g': 49, 'b': 50}]",4050445,nelsonwah,1218
