views,appreciations,comments,foucs
348052,24526,532,6724
273791,21495,598,4300
224368,16230,539,3430
83154,16113,222,1797
75418,15441,181,1722
102570,11620,634,7039
51400,11461,146,1278
168432,10495,578,3287
99272,10339,410,2211
67498,9733,165,537
259923,9706,93,1895
79635,9404,447,3868
161036,9193,85,1863
75558,8734,413,2783
105689,8654,474,2530
104851,8404,349,7566
88014,8380,331,1792
37968,8137,316,516
107715,8125,389,3007
15122,7665,49,655
156556,7542,186,2523
183602,7432,155,2604
98388,7366,222,1515
32683,7248,37,1022
79665,6899,211,2334
69048,6638,245,2104
98550,6582,207,1645
28641,6428,108,717
65559,6354,250,913
76569,6196,363,3805
82441,6136,248,2958
55463,6025,212,2328
128816,6011,90,966
63071,5996,207,1871
66242,5870,230,2032
36162,5809,134,648
58623,5794,173,1295
84825,5697,370,1067
65020,5693,161,2008
58964,5687,313,941
84725,5594,156,612
70313,5543,263,790
56016,5519,252,1723
57757,5505,263,1177
44971,5448,284,2064
74544,5382,311,2201
41022,5361,261,1408
58656,5346,75,596
67205,5321,209,6436
42749,5289,198,1195
63082,5251,250,2370
175775,5219,268,2188
45510,5205,231,2256
105531,5162,191,1996
49833,5136,171,1397
45863,5093,297,775
48411,5010,280,1071
74722,4941,157,1537
132425,4884,130,1964
124238,4875,46,783
89998,4868,108,1961
52521,4863,246,1244
47535,4806,213,1615
62967,4673,196,1647
49604,4669,201,1633
80972,4653,134,1475
49436,4637,241,1722
46779,4570,203,1492
39710,4565,116,1904
15633,4516,99,386
41208,4446,211,882
78760,4435,74,272
69818,4429,214,1505
37984,4391,168,2109
29880,4381,219,1068
41469,4320,171,1607
72396,4305,188,5207
44042,4292,114,4769
48299,4276,126,1749
49929,4250,13,2858
52899,4114,257,1088
23939,4106,36,152
65612,4058,244,1182
100318,4051,219,1604
25620,4032,156,1378
39894,4033,146,934
47750,4025,150,1759
20762,4008,114,1629
38872,4005,191,1411
38543,3964,133,839
85798,3938,178,5049
44776,3884,99,1240
45940,3860,175,2229
13049,3847,69,2325
52245,3802,206,1037
80270,3776,225,1906
34931,3768,124,986
57653,3753,245,3378
28744,3672,160,804
50616,3669,169,938
31396,3628,179,1840
58055,3623,127,1518
68698,3599,194,986
13156,3521,85,301
63002,3517,142,2257
22459,3508,184,300
50141,3501,145,1298
46365,3501,117,2196
6223,3473,14,15
25266,3468,100,1167
33397,3464,148,1301
34852,3462,176,2055
39419,3461,120,1577
56074,3461,97,908
44912,3437,95,1202
37962,3434,87,1410
48124,3409,194,1812
43895,3371,124,1314
21494,3368,46,373
50352,3346,143,1714
22249,3325,37,364
