duration,views,appreciations,comments,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
3203,348537,24566,533,3203,183,22905,1146677,83488,89
1949,274100,21501,598,1964,44,4387,282201,21896,8
2115,83609,16355,222,3149,322,37329,1560713,344961,28
1907,224750,16239,536,3328,6,153240,5742021,730991,37
2111,76160,15688,182,3149,322,37329,1560713,344961,28
2658,51788,11697,146,3149,322,37329,1560713,344961,28
1370,103252,11674,635,4219,421,18670,438574,30882,83
2309,169148,10519,581,3676,345,4157,220842,13301,166
1666,99828,10376,409,2656,499,20127,996149,94455,1704
620,68031,9741,165,1822,43,5739,542559,104529,8
2008,260215,9711,93,2352,898,2423,326051,12408,85
626,80514,9491,453,2087,376,16353,396584,40057,926
1419,166198,9338,85,2246,472,2812,221381,13919,86
792,75916,8779,413,1952,605,10363,295542,32548,57
1596,106192,8672,476,2648,87,43656,1918791,150147,3083
1883,105130,8420,348,4235,209,61649,1559794,68684,1768
1984,88501,8404,333,2656,499,20127,996149,94455,1704
1897,38355,8153,317,2445,1096,2937,163302,48904,99
821,108726,8136,389,2024,386,4217,162148,11387,27
251,15381,7683,51,2068,233,5810,257054,70663,642
1633,157108,7565,188,2092,8,2911,195378,8718,1
873,99368,7473,222,1181,112,2793,162813,13705,12
1486,184094,7454,155,1934,648,6444,328705,18307,119
1999,32760,7250,37,2325,523,3262,167223,22957,43
1862,79799,6903,211,2020,5,2593,96874,7662,1
1272,29117,6673,108,3149,322,37329,1560713,344961,28
1661,69370,6655,244,1973,40,4760,210594,14994,6
1476,99380,6597,207,2151,505,4586,331750,18315,9
650,66528,6439,358,3286,185,1165,83455,7221,42
2286,66309,6368,250,3260,29,1213,107223,8410,1
2025,76709,6201,361,3231,530,79926,1440750,130270,841
2222,82638,6143,248,2784,167,5742,162888,11911,164
1191,132202,6142,91,3484,2169,30277,3795317,188511,508
490,56533,6136,213,2276,185,4840,120529,12530,11
1007,36788,6074,135,3149,322,37329,1560713,344961,28
2356,63121,5997,206,2360,39,2584,109504,8293,7
1856,66580,5886,230,2380,728,3707,131553,10710,170
1141,59518,5879,176,1663,471,3932,209972,17583,264
1965,65658,5733,161,2679,363,6763,213974,19034,50
1252,85312,5710,369,3309,472,5733,447227,30603,406
